source,target
DARREN CROSS,LUIS
HOWARD STARK,LUIS
HOPE VAN DYNE,LUIS
HANK PYM,LUIS
CAB DRIVER,HOWARD STARK
COP ON SPEAKER,HOWARD STARK
HIDEOUS RABBIT,HOWARD STARK
ALPHA GUARD,HOWARD STARK
DETECTIVE,HOWARD STARK
GALE,HOWARD STARK
FRANK,HOWARD STARK
COMPUTER,HOWARD STARK
DALE,HOWARD STARK
CASSIE LANG,HOWARD STARK
DAVE,HOWARD STARK
DARREN CROSS,HOWARD STARK
HOPE VAN DYNE,HOWARD STARK
HANK PYM,HOWARD STARK
CAB DRIVER,DARREN CROSS
COP ON SPEAKER,DARREN CROSS
ALPHA GUARD,DARREN CROSS
COMPUTER,DARREN CROSS
DALE,DARREN CROSS
CASSIE LANG,DARREN CROSS
CAB DRIVER,"JAMES ""JIM"" PAXTON"
COP ON SPEAKER,"JAMES ""JIM"" PAXTON"
HIDEOUS RABBIT,"JAMES ""JIM"" PAXTON"
ALPHA GUARD,"JAMES ""JIM"" PAXTON"
DETECTIVE,"JAMES ""JIM"" PAXTON"
ICE CREAM STORE CUSTOMER,"JAMES ""JIM"" PAXTON"
GALE,"JAMES ""JIM"" PAXTON"
FRANK,"JAMES ""JIM"" PAXTON"
COMPUTER,"JAMES ""JIM"" PAXTON"
DALE,"JAMES ""JIM"" PAXTON"
CASSIE LANG,"JAMES ""JIM"" PAXTON"
DAVE,"JAMES ""JIM"" PAXTON"
DARREN CROSS,"JAMES ""JIM"" PAXTON"
HOWARD STARK,"JAMES ""JIM"" PAXTON"
HOPE VAN DYNE,"JAMES ""JIM"" PAXTON"
HANK PYM,"JAMES ""JIM"" PAXTON"
CAB DRIVER,DAVE
COP ON SPEAKER,DAVE
ALPHA GUARD,DAVE
COMPUTER,DAVE
DALE,DAVE
CASSIE LANG,DAVE
DARREN CROSS,DAVE
CAB DRIVER,KURT
COP ON SPEAKER,KURT
HIDEOUS RABBIT,KURT
ALPHA GUARD,KURT
DETECTIVE,KURT
ICE CREAM STORE CUSTOMER,KURT
GALE,KURT
FRANK,KURT
COMPUTER,KURT
DALE,KURT
CASSIE LANG,KURT
DAVE,KURT
"JAMES ""JIM"" PAXTON",KURT
DARREN CROSS,KURT
HOWARD STARK,KURT
HOPE VAN DYNE,KURT
HANK PYM,KURT
CAB DRIVER,CASSIE LANG
ALPHA GUARD,CASSIE LANG
CAB DRIVER,MAGGIE LANG
COP ON SPEAKER,MAGGIE LANG
HIDEOUS RABBIT,MAGGIE LANG
ALPHA GUARD,MAGGIE LANG
DETECTIVE,MAGGIE LANG
ICE CREAM STORE CUSTOMER,MAGGIE LANG
GALE,MAGGIE LANG
FRANK,MAGGIE LANG
COMPUTER,MAGGIE LANG
DALE,MAGGIE LANG
CASSIE LANG,MAGGIE LANG
KURT,MAGGIE LANG
DAVE,MAGGIE LANG
"JAMES ""JIM"" PAXTON",MAGGIE LANG
DARREN CROSS,MAGGIE LANG
HOWARD STARK,MAGGIE LANG
LUIS,MAGGIE LANG
HOPE VAN DYNE,MAGGIE LANG
HANK PYM,MAGGIE LANG
CAB DRIVER,DALE
COP ON SPEAKER,DALE
ALPHA GUARD,DALE
COMPUTER,DALE
CASSIE LANG,DALE
CAB DRIVER,MITCHELL CARSON
COP ON SPEAKER,MITCHELL CARSON
HIDEOUS RABBIT,MITCHELL CARSON
ALPHA GUARD,MITCHELL CARSON
DETECTIVE,MITCHELL CARSON
ICE CREAM STORE CUSTOMER,MITCHELL CARSON
GALE,MITCHELL CARSON
FRANK,MITCHELL CARSON
COMPUTER,MITCHELL CARSON
DALE,MITCHELL CARSON
MAGGIE LANG,MITCHELL CARSON
CASSIE LANG,MITCHELL CARSON
KURT,MITCHELL CARSON
DAVE,MITCHELL CARSON
"JAMES ""JIM"" PAXTON",MITCHELL CARSON
DARREN CROSS,MITCHELL CARSON
HOWARD STARK,MITCHELL CARSON
LUIS,MITCHELL CARSON
HOPE VAN DYNE,MITCHELL CARSON
HANK PYM,MITCHELL CARSON
CAB DRIVER,COMPUTER
ALPHA GUARD,COMPUTER
CASSIE LANG,COMPUTER
CAB DRIVER,FRANK
COP ON SPEAKER,FRANK
ALPHA GUARD,FRANK
DETECTIVE,FRANK
COMPUTER,FRANK
DALE,FRANK
CASSIE LANG,FRANK
DAVE,FRANK
DARREN CROSS,FRANK
CAB DRIVER,GALE
COP ON SPEAKER,GALE
ALPHA GUARD,GALE
DETECTIVE,GALE
FRANK,GALE
COMPUTER,GALE
DALE,GALE
CASSIE LANG,GALE
DAVE,GALE
DARREN CROSS,GALE
CAB DRIVER,ICE CREAM STORE CUSTOMER
COP ON SPEAKER,ICE CREAM STORE CUSTOMER
HIDEOUS RABBIT,ICE CREAM STORE CUSTOMER
ALPHA GUARD,ICE CREAM STORE CUSTOMER
DETECTIVE,ICE CREAM STORE CUSTOMER
GALE,ICE CREAM STORE CUSTOMER
FRANK,ICE CREAM STORE CUSTOMER
COMPUTER,ICE CREAM STORE CUSTOMER
DALE,ICE CREAM STORE CUSTOMER
CASSIE LANG,ICE CREAM STORE CUSTOMER
DAVE,ICE CREAM STORE CUSTOMER
DARREN CROSS,ICE CREAM STORE CUSTOMER
HOWARD STARK,ICE CREAM STORE CUSTOMER
HOPE VAN DYNE,ICE CREAM STORE CUSTOMER
HANK PYM,ICE CREAM STORE CUSTOMER
CAB DRIVER,DETECTIVE
COP ON SPEAKER,DETECTIVE
ALPHA GUARD,DETECTIVE
COMPUTER,DETECTIVE
DALE,DETECTIVE
CASSIE LANG,DETECTIVE
DAVE,DETECTIVE
DARREN CROSS,DETECTIVE
CAB DRIVER,PEACHY
COP ON SPEAKER,PEACHY
HIDEOUS RABBIT,PEACHY
ALPHA GUARD,PEACHY
DETECTIVE,PEACHY
ICE CREAM STORE CUSTOMER,PEACHY
GALE,PEACHY
FRANK,PEACHY
COMPUTER,PEACHY
MITCHELL CARSON,PEACHY
DALE,PEACHY
MAGGIE LANG,PEACHY
CASSIE LANG,PEACHY
KURT,PEACHY
DAVE,PEACHY
"JAMES ""JIM"" PAXTON",PEACHY
DARREN CROSS,PEACHY
HOWARD STARK,PEACHY
LUIS,PEACHY
HOPE VAN DYNE,PEACHY
HANK PYM,PEACHY
NATASHA ROMANOFF,PEACHY
CAB DRIVER,HIDEOUS RABBIT
COP ON SPEAKER,HIDEOUS RABBIT
ALPHA GUARD,HIDEOUS RABBIT
DETECTIVE,HIDEOUS RABBIT
GALE,HIDEOUS RABBIT
FRANK,HIDEOUS RABBIT
COMPUTER,HIDEOUS RABBIT
DALE,HIDEOUS RABBIT
CASSIE LANG,HIDEOUS RABBIT
DAVE,HIDEOUS RABBIT
DARREN CROSS,HIDEOUS RABBIT
HANK PYM,HIDEOUS RABBIT
PYM TECH GATE GUARD,PYM TECH SECURITY GUARD
POOL BBQ DAD,PYM TECH SECURITY GUARD
CAB DRIVER,PYM TECH SECURITY GUARD
PYM TECH EMPLOYEE,PYM TECH SECURITY GUARD
COP ON SPEAKER,PYM TECH SECURITY GUARD
POLICE RADIO,PYM TECH SECURITY GUARD
HIDEOUS RABBIT,PYM TECH SECURITY GUARD
ALPHA GUARD,PYM TECH SECURITY GUARD
PEACHY,PYM TECH SECURITY GUARD
DETECTIVE,PYM TECH SECURITY GUARD
ICE CREAM STORE CUSTOMER,PYM TECH SECURITY GUARD
GALE,PYM TECH SECURITY GUARD
