source,target
CROWD,MINING TRIBE ELDER
GRIOT,MINING TRIBE ELDER
M'BAKU,MINING TRIBE ELDER
EVERETT ROSS,MINING TRIBE ELDER
SHURI/NAKIA,YOUNG ZURI
WAKANDAN CHILDREN,YOUNG ZURI
WAKANDAN CHILD,YOUNG ZURI
SOUTH AFRICAN TOUGH,YOUNG ZURI
NIGERIAN WOMAN,YOUNG ZURI
CIA AGENT,YOUNG ZURI
CARGO TRUCK MILITANT,YOUNG ZURI
BORDER TRIBE,YOUNG ZURI
"ELDERS, WARRIORS, DORA",YOUNG ZURI
DRIVER,YOUNG ZURI
BORDER TRIBE COMMANDER,YOUNG ZURI
NIGERIAN MILITANT #2,YOUNG ZURI
FRENCH AMBASSADOR,YOUNG ZURI
BBC ANCHOR,YOUNG ZURI
BUCKY,YOUNG ZURI
ELDERLY WOMAN,YOUNG ZURI
AYO,YOUNG ZURI
YOUNG BLACK KID,YOUNG ZURI
MILITANT LEADER,YOUNG ZURI
LINDA,YOUNG ZURI
LIMBANI,YOUNG ZURI
BORDER TRIBE ELDER,YOUNG ZURI
MERCHANT TRIBE ELDER,YOUNG ZURI
YOUNG T' CHAKA,YOUNG ZURI
DORA MILAJE 1,YOUNG ZURI
OAKLAND KID #2,YOUNG ZURI
OAKLAND KID #3,YOUNG ZURI
YOUNG KILLMONGER,YOUNG ZURI
RIVER TRIBE ELDER,YOUNG ZURI
OAKLAND KID #1,YOUNG ZURI
SHAMAN,YOUNG ZURI
FATHER,YOUNG ZURI
CROWD,YOUNG ZURI
SON,YOUNG ZURI
MINING TRIBE ELDER,YOUNG ZURI
YOUNG T'CHAKA,YOUNG ZURI
GRIOT,YOUNG ZURI
MUSEUM DIRECTOR,YOUNG ZURI
STAN LEE,YOUNG ZURI
T'CHAKA,YOUNG ZURI
SECURITY GUARD,YOUNG ZURI
N'JOBU,YOUNG ZURI
W'KABI,YOUNG ZURI
RAMONDA,YOUNG ZURI
M'BAKU,YOUNG ZURI
ULYSSES KLAUE,YOUNG ZURI
N'JADAKA (KILLMONGER),YOUNG ZURI
EVERETT ROSS,YOUNG ZURI
OKOYE,YOUNG ZURI
NAKIA,YOUNG ZURI
SHURI,YOUNG ZURI
T'CHALLA,YOUNG ZURI
SHURI/NAKIA,SON
NIGERIAN WOMAN,SON
CIA AGENT,SON
CARGO TRUCK MILITANT,SON
BORDER TRIBE,SON
"ELDERS, WARRIORS, DORA",SON
DRIVER,SON
BORDER TRIBE COMMANDER,SON
NIGERIAN MILITANT #2,SON
FRENCH AMBASSADOR,SON
BBC ANCHOR,SON
BUCKY,SON
ELDERLY WOMAN,SON
AYO,SON
MILITANT LEADER,SON
LINDA,SON
LIMBANI,SON
BORDER TRIBE ELDER,SON
MERCHANT TRIBE ELDER,SON
DORA MILAJE 1,SON
OAKLAND KID #2,SON
OAKLAND KID #3,SON
RIVER TRIBE ELDER,SON
OAKLAND KID #1,SON
SHAMAN,SON
FATHER,SON
CROWD,SON
MINING TRIBE ELDER,SON
GRIOT,SON
MUSEUM DIRECTOR,SON
SECURITY GUARD,SON
N'JOBU,SON
RAMONDA,SON
M'BAKU,SON
N'JADAKA (KILLMONGER),SON
EVERETT ROSS,SON
OKOYE,SON
NAKIA,SON
SHURI,SON
CIA AGENT,CROWD
CARGO TRUCK MILITANT,CROWD
BORDER TRIBE,CROWD
BORDER TRIBE COMMANDER,CROWD
BBC ANCHOR,CROWD
BUCKY,CROWD
AYO,CROWD
BORDER TRIBE ELDER,CROWD
CIA AGENT,FATHER
CARGO TRUCK MILITANT,FATHER
BORDER TRIBE,FATHER
"ELDERS, WARRIORS, DORA",FATHER
DRIVER,FATHER
BORDER TRIBE COMMANDER,FATHER
BBC ANCHOR,FATHER
BUCKY,FATHER
ELDERLY WOMAN,FATHER
AYO,FATHER
BORDER TRIBE ELDER,FATHER
DORA MILAJE 1,FATHER
CROWD,FATHER
EVERETT ROSS,FATHER
NIGERIAN WOMAN,SHAMAN
CIA AGENT,SHAMAN
CARGO TRUCK MILITANT,SHAMAN
BORDER TRIBE,SHAMAN
"ELDERS, WARRIORS, DORA",SHAMAN
DRIVER,SHAMAN
BORDER TRIBE COMMANDER,SHAMAN
NIGERIAN MILITANT #2,SHAMAN
FRENCH AMBASSADOR,SHAMAN
BBC ANCHOR,SHAMAN
BUCKY,SHAMAN
ELDERLY WOMAN,SHAMAN
AYO,SHAMAN
MILITANT LEADER,SHAMAN
LINDA,SHAMAN
LIMBANI,SHAMAN
BORDER TRIBE ELDER,SHAMAN
MERCHANT TRIBE ELDER,SHAMAN
DORA MILAJE 1,SHAMAN
OAKLAND KID #2,SHAMAN
OAKLAND KID #3,SHAMAN
RIVER TRIBE ELDER,SHAMAN
OAKLAND KID #1,SHAMAN
FATHER,SHAMAN
CROWD,SHAMAN
MINING TRIBE ELDER,SHAMAN
GRIOT,SHAMAN
MUSEUM DIRECTOR,SHAMAN
SECURITY GUARD,SHAMAN
N'JOBU,SHAMAN
RAMONDA,SHAMAN
M'BAKU,SHAMAN
N'JADAKA (KILLMONGER),SHAMAN
EVERETT ROSS,SHAMAN
OKOYE,SHAMAN
NAKIA,SHAMAN
NIGERIAN WOMAN,OAKLAND KID #1
CIA AGENT,OAKLAND KID #1
CARGO TRUCK MILITANT,OAKLAND KID #1
BORDER TRIBE,OAKLAND KID #1
"ELDERS, WARRIORS, DORA",OAKLAND KID #1
DRIVER,OAKLAND KID #1
BORDER TRIBE COMMANDER,OAKLAND KID #1
NIGERIAN MILITANT #2,OAKLAND KID #1
FRENCH AMBASSADOR,OAKLAND KID #1
BBC ANCHOR,OAKLAND KID #1
BUCKY,OAKLAND KID #1
ELDERLY WOMAN,OAKLAND KID #1
AYO,OAKLAND KID #1
MILITANT LEADER,OAKLAND KID #1
LINDA,OAKLAND KID #1
LIMBANI,OAKLAND KID #1
BORDER TRIBE ELDER,OAKLAND KID #1
MERCHANT TRIBE ELDER,OAKLAND KID #1
DORA MILAJE 1,OAKLAND KID #1
FATHER,OAKLAND KID #1
CROWD,OAKLAND KID #1
MINING TRIBE ELDER,OAKLAND KID #1
GRIOT,OAKLAND KID #1
MUSEUM DIRECTOR,OAKLAND KID #1
N'JOBU,OAKLAND KID #1
M'BAKU,OAKLAND KID #1
N'JADAKA (KILLMONGER),OAKLAND KID #1
EVERETT ROSS,OAKLAND KID #1
NAKIA,OAKLAND KID #1
NIGERIAN WOMAN,RIVER TRIBE ELDER
CIA AGENT,RIVER TRIBE ELDER
CARGO TRUCK MILITANT,RIVER TRIBE ELDER
BORDER TRIBE,RIVER TRIBE ELDER
"ELDERS, WARRIORS, DORA",RIVER TRIBE ELDER
DRIVER,RIVER TRIBE ELDER
BORDER TRIBE COMMANDER,RIVER TRIBE ELDER
NIGERIAN MILITANT #2,RIVER TRIBE ELDER
FRENCH AMBASSADOR,RIVER TRIBE ELDER
BBC ANCHOR,RIVER TRIBE ELDER
BUCKY,RIVER TRIBE ELDER
ELDERLY WOMAN,RIVER TRIBE ELDER
AYO,RIVER TRIBE ELDER
MILITANT LEADER,RIVER TRIBE ELDER
LINDA,RIVER TRIBE ELDER
LIMBANI,RIVER TRIBE ELDER
BORDER TRIBE ELDER,RIVER TRIBE ELDER
MERCHANT TRIBE ELDER,RIVER TRIBE ELDER
DORA MILAJE 1,RIVER TRIBE ELDER
OAKLAND KID #2,RIVER TRIBE ELDER
OAKLAND KID #3,RIVER TRIBE ELDER
OAKLAND KID #1,RIVER TRIBE ELDER
FATHER,RIVER TRIBE ELDER
CROWD,RIVER TRIBE ELDER
MINING TRIBE ELDER,RIVER TRIBE ELDER
GRIOT,RIVER TRIBE ELDER
MUSEUM DIRECTOR,RIVER TRIBE ELDER
N'JOBU,RIVER TRIBE ELDER
RAMONDA,RIVER TRIBE ELDER
M'BAKU,RIVER TRIBE ELDER
N'JADAKA (KILLMONGER),RIVER TRIBE ELDER
EVERETT ROSS,RIVER TRIBE ELDER
OKOYE,RIVER TRIBE ELDER
NAKIA,RIVER TRIBE ELDER
SHURI/NAKIA,YOUNG KILLMONGER
WAKANDAN CHILDREN,YOUNG KILLMONGER
WAKANDAN CHILD,YOUNG KILLMONGER
SOUTH AFRICAN TOUGH,YOUNG KILLMONGER
NIGERIAN WOMAN,YOUNG KILLMONGER
CIA AGENT,YOUNG KILLMONGER
CARGO TRUCK MILITANT,YOUNG KILLMONGER
BORDER TRIBE,YOUNG KILLMONGER
"ELDERS, WARRIORS, DORA",YOUNG KILLMONGER
DRIVER,YOUNG KILLMONGER
BORDER TRIBE COMMANDER,YOUNG KILLMONGER
NIGERIAN MILITANT #2,YOUNG KILLMONGER
FRENCH AMBASSADOR,YOUNG KILLMONGER
BBC ANCHOR,YOUNG KILLMONGER
BUCKY,YOUNG KILLMONGER
ELDERLY WOMAN,YOUNG KILLMONGER
AYO,YOUNG KILLMONGER
YOUNG BLACK KID,YOUNG KILLMONGER
MILITANT LEADER,YOUNG KILLMONGER
LINDA,YOUNG KILLMONGER
LIMBANI,YOUNG KILLMONGER
BORDER TRIBE ELDER,YOUNG KILLMONGER
MERCHANT TRIBE ELDER,YOUNG KILLMONGER
DORA MILAJE 1,YOUNG KILLMONGER
OAKLAND KID #2,YOUNG KILLMONGER
OAKLAND KID #3,YOUNG KILLMONGER
RIVER TRIBE ELDER,YOUNG KILLMONGER
OAKLAND KID #1,YOUNG KILLMONGER
SHAMAN,YOUNG KILLMONGER
FATHER,YOUNG KILLMONGER
CROWD,YOUNG KILLMONGER
SON,YOUNG KILLMONGER
MINING TRIBE ELDER,YOUNG KILLMONGER
GRIOT,YOUNG KILLMONGER
MUSEUM DIRECTOR,YOUNG KILLMONGER
STAN LEE,YOUNG KILLMONGER
T'CHAKA,YOUNG KILLMONGER
SECURITY GUARD,YOUNG KILLMONGER
N'JOBU,YOUNG KILLMONGER
W'KABI,YOUNG KILLMONGER
RAMONDA,YOUNG KILLMONGER
M'BAKU,YOUNG KILLMONGER
ULYSSES KLAUE,YOUNG KILLMONGER
N'JADAKA (KILLMONGER),YOUNG KILLMONGER
EVERETT ROSS,YOUNG KILLMONGER
OKOYE,YOUNG KILLMONGER
NAKIA,YOUNG KILLMONGER
SHURI,YOUNG KILLMONGER
T'CHALLA,YOUNG KILLMONGER
NIGERIAN WOMAN,OAKLAND KID #3
CIA AGENT,OAKLAND KID #3
CARGO TRUCK MILITANT,OAKLAND KID #3
BORDER TRIBE,OAKLAND KID #3
"ELDERS, WARRIORS, DORA",OAKLAND KID #3
DRIVER,OAKLAND KID #3
BORDER TRIBE COMMANDER,OAKLAND KID #3
NIGERIAN MILITANT #2,OAKLAND KID #3
FRENCH AMBASSADOR,OAKLAND KID #3
BBC ANCHOR,OAKLAND KID #3
BUCKY,OAKLAND KID #3
ELDERLY WOMAN,OAKLAND KID #3
AYO,OAKLAND KID #3
MILITANT LEADER,OAKLAND KID #3
LINDA,OAKLAND KID #3
LIMBANI,OAKLAND KID #3
BORDER TRIBE ELDER,OAKLAND KID #3
MERCHANT TRIBE ELDER,OAKLAND KID #3
DORA MILAJE 1,OAKLAND KID #3
OAKLAND KID #2,OAKLAND KID #3
OAKLAND KID #1,OAKLAND KID #3
FATHER,OAKLAND KID #3
CROWD,OAKLAND KID #3
MINING TRIBE ELDER,OAKLAND KID #3
GRIOT,OAKLAND KID #3
MUSEUM DIRECTOR,OAKLAND KID #3
N'JOBU,OAKLAND KID #3
M'BAKU,OAKLAND KID #3
N'JADAKA (KILLMONGER),OAKLAND KID #3
EVERETT ROSS,OAKLAND KID #3
NAKIA,OAKLAND KID #3
NIGERIAN WOMAN,OAKLAND KID #2
CIA AGENT,OAKLAND KID #2
CARGO TRUCK MILITANT,OAKLAND KID #2
BORDER TRIBE,OAKLAND KID #2
"ELDERS, WARRIORS, DORA",OAKLAND KID #2
DRIVER,OAKLAND KID #2
BORDER TRIBE COMMANDER,OAKLAND KID #2
NIGERIAN MILITANT #2,OAKLAND KID #2
FRENCH AMBASSADOR,OAKLAND KID #2
BBC ANCHOR,OAKLAND KID #2
BUCKY,OAKLAND KID #2
ELDERLY WOMAN,OAKLAND KID #2
AYO,OAKLAND KID #2
MILITANT LEADER,OAKLAND KID #2
LINDA,OAKLAND KID #2
LIMBANI,OAKLAND KID #2
BORDER TRIBE ELDER,OAKLAND KID #2
MERCHANT TRIBE ELDER,OAKLAND KID #2
DORA MILAJE 1,OAKLAND KID #2
OAKLAND KID #1,OAKLAND KID #2
FATHER,OAKLAND KID #2
CROWD,OAKLAND KID #2
MINING TRIBE ELDER,OAKLAND KID #2
GRIOT,OAKLAND KID #2
MUSEUM DIRECTOR,OAKLAND KID #2
N'JOBU,OAKLAND KID #2
M'BAKU,OAKLAND KID #2
N'JADAKA (KILLMONGER),OAKLAND KID #2
EVERETT ROSS,OAKLAND KID #2
NAKIA,OAKLAND KID #2
CIA AGENT,DORA MILAJE 1
CARGO TRUCK MILITANT,DORA MILAJE 1
BORDER TRIBE,DORA MILAJE 1
BORDER TRIBE COMMANDER,DORA MILAJE 1
BBC ANCHOR,DORA MILAJE 1
BUCKY,DORA MILAJE 1
AYO,DORA MILAJE 1
BORDER TRIBE ELDER,DORA MILAJE 1
CROWD,DORA MILAJE 1
SHURI/NAKIA,YOUNG T' CHAKA
WAKANDAN CHILDREN,YOUNG T' CHAKA
WAKANDAN CHILD,YOUNG T' CHAKA
SOUTH AFRICAN TOUGH,YOUNG T' CHAKA
NIGERIAN WOMAN,YOUNG T' CHAKA
CIA AGENT,YOUNG T' CHAKA
CARGO TRUCK MILITANT,YOUNG T' CHAKA
BORDER TRIBE,YOUNG T' CHAKA
"ELDERS, WARRIORS, DORA",YOUNG T' CHAKA
DRIVER,YOUNG T' CHAKA
BORDER TRIBE COMMANDER,YOUNG T' CHAKA
NIGERIAN MILITANT #2,YOUNG T' CHAKA
FRENCH AMBASSADOR,YOUNG T' CHAKA
BBC ANCHOR,YOUNG T' CHAKA
BUCKY,YOUNG T' CHAKA
ELDERLY WOMAN,YOUNG T' CHAKA
AYO,YOUNG T' CHAKA
YOUNG BLACK KID,YOUNG T' CHAKA
MILITANT LEADER,YOUNG T' CHAKA
LINDA,YOUNG T' CHAKA
LIMBANI,YOUNG T' CHAKA
BORDER TRIBE ELDER,YOUNG T' CHAKA
MERCHANT TRIBE ELDER,YOUNG T' CHAKA
DORA MILAJE 1,YOUNG T' CHAKA
OAKLAND KID #2,YOUNG T' CHAKA
OAKLAND KID #3,YOUNG T' CHAKA
YOUNG KILLMONGER,YOUNG T' CHAKA
RIVER TRIBE ELDER,YOUNG T' CHAKA
OAKLAND KID #1,YOUNG T' CHAKA
SHAMAN,YOUNG T' CHAKA
FATHER,YOUNG T' CHAKA
CROWD,YOUNG T' CHAKA
SON,YOUNG T' CHAKA
MINING TRIBE ELDER,YOUNG T' CHAKA
GRIOT,YOUNG T' CHAKA
MUSEUM DIRECTOR,YOUNG T' CHAKA
STAN LEE,YOUNG T' CHAKA
T'CHAKA,YOUNG T' CHAKA
SECURITY GUARD,YOUNG T' CHAKA
N'JOBU,YOUNG T' CHAKA
W'KABI,YOUNG T' CHAKA
RAMONDA,YOUNG T' CHAKA
M'BAKU,YOUNG T' CHAKA
ULYSSES KLAUE,YOUNG T' CHAKA
N'JADAKA (KILLMONGER),YOUNG T' CHAKA
EVERETT ROSS,YOUNG T' CHAKA
OKOYE,YOUNG T' CHAKA
NAKIA,YOUNG T' CHAKA
SHURI,YOUNG T' CHAKA
T'CHALLA,YOUNG T' CHAKA
CIA AGENT,MERCHANT TRIBE ELDER
CARGO TRUCK MILITANT,MERCHANT TRIBE ELDER
BORDER TRIBE,MERCHANT TRIBE ELDER
"ELDERS, WARRIORS, DORA",MERCHANT TRIBE ELDER
DRIVER,MERCHANT TRIBE ELDER
BORDER TRIBE COMMANDER,MERCHANT TRIBE ELDER
FRENCH AMBASSADOR,MERCHANT TRIBE ELDER
BBC ANCHOR,MERCHANT TRIBE ELDER
BUCKY,MERCHANT TRIBE ELDER
ELDERLY WOMAN,MERCHANT TRIBE ELDER
AYO,MERCHANT TRIBE ELDER
LINDA,MERCHANT TRIBE ELDER
LIMBANI,MERCHANT TRIBE ELDER
BORDER TRIBE ELDER,MERCHANT TRIBE ELDER
DORA MILAJE 1,MERCHANT TRIBE ELDER
FATHER,MERCHANT TRIBE ELDER
CROWD,MERCHANT TRIBE ELDER
GRIOT,MERCHANT TRIBE ELDER
M'BAKU,MERCHANT TRIBE ELDER
EVERETT ROSS,MERCHANT TRIBE ELDER
BORDER TRIBE,BORDER TRIBE ELDER
BORDER TRIBE COMMANDER,BORDER TRIBE ELDER
BBC ANCHOR,BORDER TRIBE ELDER
AYO,BORDER TRIBE ELDER
CIA AGENT,LIMBANI
CARGO TRUCK MILITANT,LIMBANI
BORDER TRIBE,LIMBANI
"ELDERS, WARRIORS, DORA",LIMBANI
DRIVER,LIMBANI
BORDER TRIBE COMMANDER,LIMBANI
FRENCH AMBASSADOR,LIMBANI
BBC ANCHOR,LIMBANI
BUCKY,LIMBANI
ELDERLY WOMAN,LIMBANI
AYO,LIMBANI
BORDER TRIBE ELDER,LIMBANI
DORA MILAJE 1,LIMBANI
FATHER,LIMBANI
CROWD,LIMBANI
GRIOT,LIMBANI
EVERETT ROSS,LIMBANI
CIA AGENT,LINDA
CARGO TRUCK MILITANT,LINDA
BORDER TRIBE,LINDA
"ELDERS, WARRIORS, DORA",LINDA
DRIVER,LINDA
BORDER TRIBE COMMANDER,LINDA
FRENCH AMBASSADOR,LINDA
BBC ANCHOR,LINDA
BUCKY,LINDA
ELDERLY WOMAN,LINDA
AYO,LINDA
LIMBANI,LINDA
BORDER TRIBE ELDER,LINDA
DORA MILAJE 1,LINDA
FATHER,LINDA
CROWD,LINDA
GRIOT,LINDA
EVERETT ROSS,LINDA
CIA AGENT,MILITANT LEADER
CARGO TRUCK MILITANT,MILITANT LEADER
BORDER TRIBE,MILITANT LEADER
"ELDERS, WARRIORS, DORA",MILITANT LEADER
DRIVER,MILITANT LEADER
BORDER TRIBE COMMANDER,MILITANT LEADER
FRENCH AMBASSADOR,MILITANT LEADER
BBC ANCHOR,MILITANT LEADER
BUCKY,MILITANT LEADER
ELDERLY WOMAN,MILITANT LEADER
AYO,MILITANT LEADER
LINDA,MILITANT LEADER
LIMBANI,MILITANT LEADER
BORDER TRIBE ELDER,MILITANT LEADER
MERCHANT TRIBE ELDER,MILITANT LEADER
DORA MILAJE 1,MILITANT LEADER
FATHER,MILITANT LEADER
CROWD,MILITANT LEADER
GRIOT,MILITANT LEADER
M'BAKU,MILITANT LEADER
EVERETT ROSS,MILITANT LEADER
SHURI/NAKIA,YOUNG BLACK KID
WAKANDAN CHILDREN,YOUNG BLACK KID
WAKANDAN CHILD,YOUNG BLACK KID
SOUTH AFRICAN TOUGH,YOUNG BLACK KID
NIGERIAN WOMAN,YOUNG BLACK KID
CIA AGENT,YOUNG BLACK KID
CARGO TRUCK MILITANT,YOUNG BLACK KID
BORDER TRIBE,YOUNG BLACK KID
"ELDERS, WARRIORS, DORA",YOUNG BLACK KID
DRIVER,YOUNG BLACK KID
BORDER TRIBE COMMANDER,YOUNG BLACK KID
NIGERIAN MILITANT #2,YOUNG BLACK KID
FRENCH AMBASSADOR,YOUNG BLACK KID
BBC ANCHOR,YOUNG BLACK KID
BUCKY,YOUNG BLACK KID
ELDERLY WOMAN,YOUNG BLACK KID
AYO,YOUNG BLACK KID
MILITANT LEADER,YOUNG BLACK KID
LINDA,YOUNG BLACK KID
LIMBANI,YOUNG BLACK KID
BORDER TRIBE ELDER,YOUNG BLACK KID
MERCHANT TRIBE ELDER,YOUNG BLACK KID
DORA MILAJE 1,YOUNG BLACK KID
OAKLAND KID #2,YOUNG BLACK KID
OAKLAND KID #3,YOUNG BLACK KID
RIVER TRIBE ELDER,YOUNG BLACK KID
OAKLAND KID #1,YOUNG BLACK KID
SHAMAN,YOUNG BLACK KID
FATHER,YOUNG BLACK KID
CROWD,YOUNG BLACK KID
SON,YOUNG BLACK KID
MINING TRIBE ELDER,YOUNG BLACK KID
GRIOT,YOUNG BLACK KID
MUSEUM DIRECTOR,YOUNG BLACK KID
STAN LEE,YOUNG BLACK KID
T'CHAKA,YOUNG BLACK KID
SECURITY GUARD,YOUNG BLACK KID
N'JOBU,YOUNG BLACK KID
W'KABI,YOUNG BLACK KID
RAMONDA,YOUNG BLACK KID
M'BAKU,YOUNG BLACK KID
ULYSSES KLAUE,YOUNG BLACK KID
N'JADAKA (KILLMONGER),YOUNG BLACK KID
EVERETT ROSS,YOUNG BLACK KID
OKOYE,YOUNG BLACK KID
NAKIA,YOUNG BLACK KID
SHURI,YOUNG BLACK KID
T'CHALLA,YOUNG BLACK KID
CIA AGENT,ELDERLY WOMAN
CARGO TRUCK MILITANT,ELDERLY WOMAN
BORDER TRIBE,ELDERLY WOMAN
DRIVER,ELDERLY WOMAN
BORDER TRIBE COMMANDER,ELDERLY WOMAN
BBC ANCHOR,ELDERLY WOMAN
BUCKY,ELDERLY WOMAN
AYO,ELDERLY WOMAN
BORDER TRIBE ELDER,ELDERLY WOMAN
DORA MILAJE 1,ELDERLY WOMAN
CROWD,ELDERLY WOMAN
BORDER TRIBE,BUCKY
BORDER TRIBE COMMANDER,BUCKY
BBC ANCHOR,BUCKY
AYO,BUCKY
BORDER TRIBE ELDER,BUCKY
AYO,BBC ANCHOR
CIA AGENT,FRENCH AMBASSADOR
CARGO TRUCK MILITANT,FRENCH AMBASSADOR
BORDER TRIBE,FRENCH AMBASSADOR
"ELDERS, WARRIORS, DORA",FRENCH AMBASSADOR
DRIVER,FRENCH AMBASSADOR
BORDER TRIBE COMMANDER,FRENCH AMBASSADOR
BBC ANCHOR,FRENCH AMBASSADOR
BUCKY,FRENCH AMBASSADOR
ELDERLY WOMAN,FRENCH AMBASSADOR
AYO,FRENCH AMBASSADOR
BORDER TRIBE ELDER,FRENCH AMBASSADOR
DORA MILAJE 1,FRENCH AMBASSADOR
FATHER,FRENCH AMBASSADOR
CROWD,FRENCH AMBASSADOR
EVERETT ROSS,FRENCH AMBASSADOR
CIA AGENT,NIGERIAN MILITANT #2
CARGO TRUCK MILITANT,NIGERIAN MILITANT #2
BORDER TRIBE,NIGERIAN MILITANT #2
"ELDERS, WARRIORS, DORA",NIGERIAN MILITANT #2
DRIVER,NIGERIAN MILITANT #2
BORDER TRIBE COMMANDER,NIGERIAN MILITANT #2
FRENCH AMBASSADOR,NIGERIAN MILITANT #2
BBC ANCHOR,NIGERIAN MILITANT #2
BUCKY,NIGERIAN MILITANT #2
ELDERLY WOMAN,NIGERIAN MILITANT #2
AYO,NIGERIAN MILITANT #2
MILITANT LEADER,NIGERIAN MILITANT #2
LINDA,NIGERIAN MILITANT #2
LIMBANI,NIGERIAN MILITANT #2
BORDER TRIBE ELDER,NIGERIAN MILITANT #2
MERCHANT TRIBE ELDER,NIGERIAN MILITANT #2
DORA MILAJE 1,NIGERIAN MILITANT #2
FATHER,NIGERIAN MILITANT #2
CROWD,NIGERIAN MILITANT #2
MINING TRIBE ELDER,NIGERIAN MILITANT #2
GRIOT,NIGERIAN MILITANT #2
MUSEUM DIRECTOR,NIGERIAN MILITANT #2
N'JOBU,NIGERIAN MILITANT #2
M'BAKU,NIGERIAN MILITANT #2
N'JADAKA (KILLMONGER),NIGERIAN MILITANT #2
EVERETT ROSS,NIGERIAN MILITANT #2
NAKIA,NIGERIAN MILITANT #2
BORDER TRIBE,BORDER TRIBE COMMANDER
BBC ANCHOR,BORDER TRIBE COMMANDER
AYO,BORDER TRIBE COMMANDER
CIA AGENT,DRIVER
CARGO TRUCK MILITANT,DRIVER
BORDER TRIBE,DRIVER
BORDER TRIBE COMMANDER,DRIVER
BBC ANCHOR,DRIVER
BUCKY,DRIVER
AYO,DRIVER
BORDER TRIBE ELDER,DRIVER
DORA MILAJE 1,DRIVER
CROWD,DRIVER
CIA AGENT,"ELDERS, WARRIORS, DORA"
CARGO TRUCK MILITANT,"ELDERS, WARRIORS, DORA"
BORDER TRIBE,"ELDERS, WARRIORS, DORA"
DRIVER,"ELDERS, WARRIORS, DORA"
BORDER TRIBE COMMANDER,"ELDERS, WARRIORS, DORA"
BBC ANCHOR,"ELDERS, WARRIORS, DORA"
BUCKY,"ELDERS, WARRIORS, DORA"
ELDERLY WOMAN,"ELDERS, WARRIORS, DORA"
AYO,"ELDERS, WARRIORS, DORA"
BORDER TRIBE ELDER,"ELDERS, WARRIORS, DORA"
DORA MILAJE 1,"ELDERS, WARRIORS, DORA"
CROWD,"ELDERS, WARRIORS, DORA"
BBC ANCHOR,BORDER TRIBE
AYO,BORDER TRIBE
BORDER TRIBE,CARGO TRUCK MILITANT
BORDER TRIBE COMMANDER,CARGO TRUCK MILITANT
BBC ANCHOR,CARGO TRUCK MILITANT
BUCKY,CARGO TRUCK MILITANT
AYO,CARGO TRUCK MILITANT
BORDER TRIBE ELDER,CARGO TRUCK MILITANT
CARGO TRUCK MILITANT,CIA AGENT
BORDER TRIBE,CIA AGENT
BORDER TRIBE COMMANDER,CIA AGENT
BBC ANCHOR,CIA AGENT
BUCKY,CIA AGENT
AYO,CIA AGENT
BORDER TRIBE ELDER,CIA AGENT
CIA AGENT,NIGERIAN WOMAN
CARGO TRUCK MILITANT,NIGERIAN WOMAN
BORDER TRIBE,NIGERIAN WOMAN
"ELDERS, WARRIORS, DORA",NIGERIAN WOMAN
DRIVER,NIGERIAN WOMAN
BORDER TRIBE COMMANDER,NIGERIAN WOMAN
NIGERIAN MILITANT #2,NIGERIAN WOMAN
FRENCH AMBASSADOR,NIGERIAN WOMAN
BBC ANCHOR,NIGERIAN WOMAN
BUCKY,NIGERIAN WOMAN
ELDERLY WOMAN,NIGERIAN WOMAN
AYO,NIGERIAN WOMAN
MILITANT LEADER,NIGERIAN WOMAN
LINDA,NIGERIAN WOMAN
LIMBANI,NIGERIAN WOMAN
BORDER TRIBE ELDER,NIGERIAN WOMAN
MERCHANT TRIBE ELDER,NIGERIAN WOMAN
DORA MILAJE 1,NIGERIAN WOMAN
FATHER,NIGERIAN WOMAN
CROWD,NIGERIAN WOMAN
MINING TRIBE ELDER,NIGERIAN WOMAN
GRIOT,NIGERIAN WOMAN
MUSEUM DIRECTOR,NIGERIAN WOMAN
N'JOBU,NIGERIAN WOMAN
M'BAKU,NIGERIAN WOMAN
N'JADAKA (KILLMONGER),NIGERIAN WOMAN
EVERETT ROSS,NIGERIAN WOMAN
NAKIA,NIGERIAN WOMAN
SHURI/NAKIA,SOUTH AFRICAN TOUGH
NIGERIAN WOMAN,SOUTH AFRICAN TOUGH
CIA AGENT,SOUTH AFRICAN TOUGH
CARGO TRUCK MILITANT,SOUTH AFRICAN TOUGH
BORDER TRIBE,SOUTH AFRICAN TOUGH
"ELDERS, WARRIORS, DORA",SOUTH AFRICAN TOUGH
DRIVER,SOUTH AFRICAN TOUGH
BORDER TRIBE COMMANDER,SOUTH AFRICAN TOUGH
NIGERIAN MILITANT #2,SOUTH AFRICAN TOUGH
FRENCH AMBASSADOR,SOUTH AFRICAN TOUGH
BBC ANCHOR,SOUTH AFRICAN TOUGH
BUCKY,SOUTH AFRICAN TOUGH
ELDERLY WOMAN,SOUTH AFRICAN TOUGH
AYO,SOUTH AFRICAN TOUGH
MILITANT LEADER,SOUTH AFRICAN TOUGH
LINDA,SOUTH AFRICAN TOUGH
LIMBANI,SOUTH AFRICAN TOUGH
BORDER TRIBE ELDER,SOUTH AFRICAN TOUGH
MERCHANT TRIBE ELDER,SOUTH AFRICAN TOUGH
DORA MILAJE 1,SOUTH AFRICAN TOUGH
OAKLAND KID #2,SOUTH AFRICAN TOUGH
OAKLAND KID #3,SOUTH AFRICAN TOUGH
