character,Ant-Man,Avengers: Age of Ultron,Avengers: Endgame,Avengers: Infinity War,Black Panther,Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier,Captain Marvel,Guardians of the Galaxy Vol. 2,Iron Man,Iron Man 2,Iron Man 3,Spider-Man: Homecoming,The Avengers,Thor,Thor: Ragnarok,Thor: The Dark World,total lines,total words,movie appearances,avg words per line,avg lines per movie,UID
VALKYRIE,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,90,803,2,8,45,3544f7ed-73b8-11ed-ba7b-84fdd1f90de3
LUIS,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1213,1,14,86,3544f8b2-73b8-11ed-ba7b-84fdd1f90de3
JUSTIN HAMMER,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,82,2281,1,27,82,3544f94c-73b8-11ed-ba7b-84fdd1f90de3
ULTRON,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1205,1,14,81,3544fa53-73b8-11ed-ba7b-84fdd1f90de3
MARIA HILL,0,24,0,6,0,0,0,23,0,0,0,0,0,0,27,0,0,0,80,659,4,8,20,3544fafe-73b8-11ed-ba7b-84fdd1f90de3
NEBULA,0,0,31,8,0,0,0,0,0,36,0,0,0,0,0,0,0,0,77,903,3,11,25,3544fb96-73b8-11ed-ba7b-84fdd1f90de3
STEPHEN STRANGE,0,0,2,57,0,0,0,0,0,0,0,0,0,0,0,0,18,0,77,677,3,8,25,3544fc2b-73b8-11ed-ba7b-84fdd1f90de3
VISION,0,19,0,26,0,31,0,0,0,0,0,0,0,0,0,0,0,0,76,971,3,12,25,3544fcbf-73b8-11ed-ba7b-84fdd1f90de3
VOLSTAGG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,8,71,663,3,9,23,3544fd5d-73b8-11ed-ba7b-84fdd1f90de3
NAKIA,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,71,602,1,8,71,3544fdf3-73b8-11ed-ba7b-84fdd1f90de3
LIZ TOOMES,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,71,546,1,7,71,3544fe88-73b8-11ed-ba7b-84fdd1f90de3
YON-ROGG,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,69,892,1,12,69,3544ff1f-73b8-11ed-ba7b-84fdd1f90de3
YONDU,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,69,788,1,11,69,3544ffb2-73b8-11ed-ba7b-84fdd1f90de3
FRIGGA,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,67,722,3,10,22,35450045-73b8-11ed-ba7b-84fdd1f90de3
OKOYE,0,0,3,11,53,0,0,0,0,0,0,0,0,0,0,0,0,0,67,542,3,8,22,354500da-73b8-11ed-ba7b-84fdd1f90de3
KAREN,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,67,523,1,7,67,35450177-73b8-11ed-ba7b-84fdd1f90de3
MANTIS,0,0,1,17,0,0,0,0,0,46,0,0,0,0,0,0,0,0,64,553,3,8,21,3545020e-73b8-11ed-ba7b-84fdd1f90de3
EVERETT ROSS,0,0,0,0,57,6,0,0,0,0,0,0,0,0,0,0,0,0,63,809,2,12,31,354502a3-73b8-11ed-ba7b-84fdd1f90de3
MAYA HANSEN,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,63,484,1,7,63,35450337-73b8-11ed-ba7b-84fdd1f90de3
HOWARD STARK,5,0,23,0,0,6,23,0,0,0,0,4,0,0,0,0,0,0,61,1121,5,18,12,354503cc-73b8-11ed-ba7b-84fdd1f90de3
SIF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,14,61,468,2,7,30,3545045f-73b8-11ed-ba7b-84fdd1f90de3
ALEXANDER PIERCE,0,0,5,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,60,1198,2,19,30,35450511-73b8-11ed-ba7b-84fdd1f90de3
COL. CHESTER PHILLIPS,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,60,959,1,15,60,354505d9-73b8-11ed-ba7b-84fdd1f90de3
TALOS,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,59,894,1,15,59,35450692-73b8-11ed-ba7b-84fdd1f90de3
ALDRICH KILLIAN,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,58,1302,1,22,58,35450737-73b8-11ed-ba7b-84fdd1f90de3
EGO,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,57,1545,1,27,57,354507d5-73b8-11ed-ba7b-84fdd1f90de3
FANDRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,8,57,677,2,11,28,3545086d-73b8-11ed-ba7b-84fdd1f90de3
RED SKULL,0,0,5,9,0,0,41,0,0,0,0,0,0,0,0,0,0,0,55,976,3,17,18,35450904-73b8-11ed-ba7b-84fdd1f90de3
DARREN CROSS,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1120,1,21,53,354509a3-73b8-11ed-ba7b-84fdd1f90de3
N'JADAKA (KILLMONGER),0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,53,897,1,16,53,35450a3c-73b8-11ed-ba7b-84fdd1f90de3
HEIMDALL,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,17,13,17,53,814,5,15,10,35450ad0-73b8-11ed-ba7b-84fdd1f90de3
HARLEY KEENER,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,53,423,1,7,53,35450b65-73b8-11ed-ba7b-84fdd1f90de3
OBADIAH STANE,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,52,1284,1,24,52,35450c03-73b8-11ed-ba7b-84fdd1f90de3
"JAMES ""JIM"" PAXTON",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,351,1,7,46,35450cbd-73b8-11ed-ba7b-84fdd1f90de3
BROCK RUMLOW,0,0,3,0,0,8,0,34,0,0,0,0,0,0,0,0,0,0,45,454,3,10,15,35450d56-73b8-11ed-ba7b-84fdd1f90de3
MAY PARKER,0,0,0,0,0,10,0,0,0,0,0,0,0,34,0,0,0,0,45,396,2,8,22,35450df4-73b8-11ed-ba7b-84fdd1f90de3
MARIA RAMBEAU,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,44,593,1,13,44,35450e8c-73b8-11ed-ba7b-84fdd1f90de3
HULK,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,39,0,44,141,3,3,14,35450f20-73b8-11ed-ba7b-84fdd1f90de3
DR. ARNIM ZOLA,0,0,0,0,0,0,30,13,0,0,0,0,0,0,0,0,0,0,43,570,2,13,21,35450fb4-73b8-11ed-ba7b-84fdd1f90de3
YINSEN,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,41,953,1,23,41,35451049-73b8-11ed-ba7b-84fdd1f90de3
FRIDAY,0,13,6,5,0,16,0,0,0,0,0,0,0,1,0,0,0,0,41,346,5,8,8,354510de-73b8-11ed-ba7b-84fdd1f90de3
ULYSSES KLAUE,0,7,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,40,756,2,18,20,3545118e-73b8-11ed-ba7b-84fdd1f90de3
GRANDMASTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,821,1,21,38,35451235-73b8-11ed-ba7b-84fdd1f90de3
SHARON CARTER,0,0,0,0,0,26,0,12,0,0,0,0,0,0,0,0,0,0,38,542,2,14,19,354512d0-73b8-11ed-ba7b-84fdd1f90de3
DR. ABRAHAM ERSKINE,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,37,663,1,17,37,3545137e-73b8-11ed-ba7b-84fdd1f90de3
IVAN VANKO,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,37,269,1,7,37,35451417-73b8-11ed-ba7b-84fdd1f90de3
PHINEAS MASON,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35,274,1,7,35,354514af-73b8-11ed-ba7b-84fdd1f90de3
SENATOR STERN,0,0,0,0,0,0,0,5,0,0,0,29,0,0,0,0,0,0,34,499,2,14,17,35451544-73b8-11ed-ba7b-84fdd1f90de3
DAVE,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,185,1,5,34,354515d8-73b8-11ed-ba7b-84fdd1f90de3
HELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,673,1,21,32,3545169d-73b8-11ed-ba7b-84fdd1f90de3
HELMUT ZEMO,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32,621,1,19,32,3545173b-73b8-11ed-ba7b-84fdd1f90de3
CHRISTINE EVERHART,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,32,318,2,9,16,354517d4-73b8-11ed-ba7b-84fdd1f90de3
