character,Ant-Man,Avengers: Age of Ultron,Avengers: Endgame,Avengers: Infinity War,Black Panther,Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier,Captain Marvel,Guardians of the Galaxy Vol. 2,Iron Man,Iron Man 2,Iron Man 3,Spider-Man: Homecoming,The Avengers,Thor,Thor: Ragnarok,Thor: The Dark World,total lines,total words,movie appearances,avg words per line,avg lines per movie,UID
TOPAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,53,1,5,10,3545544c-73b8-11ed-ba7b-84fdd1f90de3
ABRAHAM BROWN,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,37,1,3,10,354554e3-73b8-11ed-ba7b-84fdd1f90de3
STAKAR,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,172,1,19,9,3545557a-73b8-11ed-ba7b-84fdd1f90de3
COUNCILMAN ROCKWELL,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,117,1,13,9,3545560c-73b8-11ed-ba7b-84fdd1f90de3
MITCHELL CARSON,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,91,1,10,9,354556ab-73b8-11ed-ba7b-84fdd1f90de3
RONAN,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,88,1,9,9,35455741-73b8-11ed-ba7b-84fdd1f90de3
VASILY KARPOV,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,61,1,6,9,354557d4-73b8-11ed-ba7b-84fdd1f90de3
QUINJET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,23,1,2,9,3545586c-73b8-11ed-ba7b-84fdd1f90de3
GENERAL GABRIEL,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,150,1,18,8,354558fe-73b8-11ed-ba7b-84fdd1f90de3
NEWS REPORTER,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,8,116,2,14,4,3545598e-73b8-11ed-ba7b-84fdd1f90de3
THE COLLECTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,83,1,10,8,35455a5c-73b8-11ed-ba7b-84fdd1f90de3
GABE JONES,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,72,1,9,8,35455af6-73b8-11ed-ba7b-84fdd1f90de3
OFFICER,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,8,65,3,8,2,35455b8c-73b8-11ed-ba7b-84fdd1f90de3
POLICE OFFICER,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,62,1,7,8,35455c26-73b8-11ed-ba7b-84fdd1f90de3
VIPER 1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,62,1,7,8,35455cbc-73b8-11ed-ba7b-84fdd1f90de3
MUSEUM DIRECTOR,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,59,1,7,8,35455d4f-73b8-11ed-ba7b-84fdd1f90de3
DR. LIST,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,58,2,7,4,35455deb-73b8-11ed-ba7b-84fdd1f90de3
DOCTOR,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,56,1,7,8,35455e80-73b8-11ed-ba7b-84fdd1f90de3
A1 STEVE,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,54,1,6,8,35455f38-73b8-11ed-ba7b-84fdd1f90de3
JIM MORITA,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,54,1,6,8,35455fd3-73b8-11ed-ba7b-84fdd1f90de3
SKRULL SCIENTIST,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,54,1,6,8,3545608f-73b8-11ed-ba7b-84fdd1f90de3
BETTY BRANT,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,51,1,6,8,35456126-73b8-11ed-ba7b-84fdd1f90de3
JAMES MONTGOMERY FALSWORTH,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,48,1,6,8,354561bb-73b8-11ed-ba7b-84fdd1f90de3
ADMISSIONS NURSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,46,1,5,8,35456259-73b8-11ed-ba7b-84fdd1f90de3
PROXIMA MIDNIGHT,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,45,1,5,8,35456311-73b8-11ed-ba7b-84fdd1f90de3
GRIOT,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,41,1,5,8,354563a6-73b8-11ed-ba7b-84fdd1f90de3
WOMAN,0,0,0,0,0,0,1,0,0,0,1,2,4,0,0,0,0,0,8,35,4,4,2,3545643c-73b8-11ed-ba7b-84fdd1f90de3
BRON-CHAR,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,34,1,4,8,354564d7-73b8-11ed-ba7b-84fdd1f90de3
THE OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,192,1,27,7,3545656a-73b8-11ed-ba7b-84fdd1f90de3
YOUNG T'CHAKA,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,129,1,18,7,35456602-73b8-11ed-ba7b-84fdd1f90de3
INTERCOM VOICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,107,1,15,7,354566a2-73b8-11ed-ba7b-84fdd1f90de3
GENERAL,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,7,66,2,9,3,35456744-73b8-11ed-ba7b-84fdd1f90de3
ALGRIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,64,1,9,7,354567df-73b8-11ed-ba7b-84fdd1f90de3
TOWER KEEPER,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,46,1,6,7,35456879-73b8-11ed-ba7b-84fdd1f90de3
MARSHAL,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,40,1,5,7,3545690a-73b8-11ed-ba7b-84fdd1f90de3
GUARD #2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,36,1,5,7,3545699e-73b8-11ed-ba7b-84fdd1f90de3
4F DOCTOR,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,31,1,4,7,35456a35-73b8-11ed-ba7b-84fdd1f90de3
USO SINGER,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,181,1,30,6,35456b12-73b8-11ed-ba7b-84fdd1f90de3
NEWS ANCHOR,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,116,1,19,6,35456bec-73b8-11ed-ba7b-84fdd1f90de3
VICE PRESIDENT,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,80,1,13,6,35456ceb-73b8-11ed-ba7b-84fdd1f90de3
GEORGI LUCHKOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,77,1,12,6,35456e07-73b8-11ed-ba7b-84fdd1f90de3
VIPER 2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,65,1,10,6,35456eef-73b8-11ed-ba7b-84fdd1f90de3
GERMAN INNKEEPER,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,60,1,10,6,3545a5ad-73b8-11ed-ba7b-84fdd1f90de3
GUARD,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,6,54,5,9,1,3545a772-73b8-11ed-ba7b-84fdd1f90de3
SHIELD LIEUTENANT,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,53,1,8,6,3545a846-73b8-11ed-ba7b-84fdd1f90de3
COUNCILWOMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,52,1,8,6,3545a99b-73b8-11ed-ba7b-84fdd1f90de3
MRS. DAVIS,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,43,1,7,6,3545aa35-73b8-11ed-ba7b-84fdd1f90de3
SHIELD TECH,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,38,2,6,3,3545aaee-73b8-11ed-ba7b-84fdd1f90de3
CINDY MOON,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,28,1,4,6,3545ab88-73b8-11ed-ba7b-84fdd1f90de3
COMPUTER,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,13,3,2,2,3545ac20-73b8-11ed-ba7b-84fdd1f90de3
FRENCH PIRATE #1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,99,1,19,5,3545acd7-73b8-11ed-ba7b-84fdd1f90de3
ABU,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,89,1,17,5,3545ad73-73b8-11ed-ba7b-84fdd1f90de3
MARIA STARK,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,86,1,17,5,3545ae0b-73b8-11ed-ba7b-84fdd1f90de3
SEARCH TEAM LEADER,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,72,1,14,5,3545aea3-73b8-11ed-ba7b-84fdd1f90de3
BRANDT’S AIDE,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,68,1,13,5,3545af3c-73b8-11ed-ba7b-84fdd1f90de3
DRUNK TOWNIE JAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,66,1,13,5,3545afd1-73b8-11ed-ba7b-84fdd1f90de3
YOUNG TONY STARK,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,65,1,13,5,3545b068-73b8-11ed-ba7b-84fdd1f90de3
JASON IONELLO,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,64,1,12,5,3545b11a-73b8-11ed-ba7b-84fdd1f90de3
ANNOUNCER,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,5,52,3,10,1,3545b1b5-73b8-11ed-ba7b-84fdd1f90de3
PVT. LORRAINE,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,52,1,10,5,3545b2a0-73b8-11ed-ba7b-84fdd1f90de3
ROSE HILLS SHERIFF,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,51,1,10,5,3545b382-73b8-11ed-ba7b-84fdd1f90de3
PILOT,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,5,49,4,9,1,3545b425-73b8-11ed-ba7b-84fdd1f90de3
MEREDITH QUILL,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,47,1,9,5,3545b4c5-73b8-11ed-ba7b-84fdd1f90de3
TOM,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,46,1,9,5,3545b561-73b8-11ed-ba7b-84fdd1f90de3
EINHERJAR GUARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,41,2,8,2,3545b6c1-73b8-11ed-ba7b-84fdd1f90de3
A1 THOR,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39,1,7,5,3545b76b-73b8-11ed-ba7b-84fdd1f90de3
AGENT,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,5,34,2,6,2,3545b80c-73b8-11ed-ba7b-84fdd1f90de3
ISABELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,33,1,6,5,3545b8b4-73b8-11ed-ba7b-84fdd1f90de3
CHARLIE WEAPONS TECH,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,30,1,6,5,3545b94d-73b8-11ed-ba7b-84fdd1f90de3
ATT-LASS,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,27,1,5,5,3545b9e7-73b8-11ed-ba7b-84fdd1f90de3
SECURITY,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,25,3,5,1,3545ba84-73b8-11ed-ba7b-84fdd1f90de3
COLLECTOR,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,3545bb35-73b8-11ed-ba7b-84fdd1f90de3
JACK,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,24,1,4,5,3545bbd1-73b8-11ed-ba7b-84fdd1f90de3
MINING TRIBE ELDER,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,1,4,5,3545bc6f-73b8-11ed-ba7b-84fdd1f90de3
YOUNG ZURI,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,1,4,5,3545bd36-73b8-11ed-ba7b-84fdd1f90de3
STRAWBERRY MAN,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,17,1,3,5,3545bdd7-73b8-11ed-ba7b-84fdd1f90de3
LILA BARTON,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,2,3,2,3545bea4-73b8-11ed-ba7b-84fdd1f90de3
SON,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,1,3,5,3545bf51-73b8-11ed-ba7b-84fdd1f90de3
JACK TAGGART,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,14,1,2,5,3545bff6-73b8-11ed-ba7b-84fdd1f90de3
CROWD,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,5,9,3,1,1,3545c0b3-73b8-11ed-ba7b-84fdd1f90de3
REPORTER,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,4,186,3,46,1,3545c14e-73b8-11ed-ba7b-84fdd1f90de3
FATHER,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,166,1,41,4,3545c1f0-73b8-11ed-ba7b-84fdd1f90de3
SERGEANT DUFFY,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,122,2,30,2,3545c288-73b8-11ed-ba7b-84fdd1f90de3
MRS. SPENCER,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,122,1,30,4,3545c328-73b8-11ed-ba7b-84fdd1f90de3
GRIEVING MAN,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,81,1,20,4,3545c3c2-73b8-11ed-ba7b-84fdd1f90de3
ANNE MARIE HOAG,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,80,1,20,4,3545c468-73b8-11ed-ba7b-84fdd1f90de3
IRON LEGION,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,77,1,19,4,3545c501-73b8-11ed-ba7b-84fdd1f90de3
COUNCILMAN SINGH,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,63,1,15,4,3545c5bd-73b8-11ed-ba7b-84fdd1f90de3
ROEDER,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,52,1,13,4,3545c65d-73b8-11ed-ba7b-84fdd1f90de3
SHAMAN,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,1,12,4,3545c6fe-73b8-11ed-ba7b-84fdd1f90de3
COACH WILSON,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,47,1,11,4,3545c79b-73b8-11ed-ba7b-84fdd1f90de3
FRANK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,1,11,4,3545c831-73b8-11ed-ba7b-84fdd1f90de3
HEAD ENGINEER,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,44,1,11,4,3545caba-73b8-11ed-ba7b-84fdd1f90de3
SCHNEIDER,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,44,1,11,4,3545cb83-73b8-11ed-ba7b-84fdd1f90de3
MS. WARREN,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,42,1,10,4,3545cc1d-73b8-11ed-ba7b-84fdd1f90de3
RANDY,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,41,1,10,4,3545ccbb-73b8-11ed-ba7b-84fdd1f90de3
PRINCIPAL MORITA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,38,1,9,4,3545cd52-73b8-11ed-ba7b-84fdd1f90de3
MEDICAL EXAMINER,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,37,1,9,4,3545cdea-73b8-11ed-ba7b-84fdd1f90de3
POLICE,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,37,1,9,4,3545ceab-73b8-11ed-ba7b-84fdd1f90de3
MADAME B,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,1,9,4,3545cf48-73b8-11ed-ba7b-84fdd1f90de3
APPLE EMPLOYEE,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,35,1,8,4,3545cfdf-73b8-11ed-ba7b-84fdd1f90de3
GILMORE HODGE,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,35,1,8,4,3545d075-73b8-11ed-ba7b-84fdd1f90de3
M.P.,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,1,8,4,3545d113-73b8-11ed-ba7b-84fdd1f90de3
COM TECH #1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,30,1,7,4,3545d1ae-73b8-11ed-ba7b-84fdd1f90de3
TULLK,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,29,1,7,4,3545d244-73b8-11ed-ba7b-84fdd1f90de3
TECHNICIAN,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,28,1,7,4,3545d2da-73b8-11ed-ba7b-84fdd1f90de3
CORVUS GLAIVE,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,2,6,2,3545d37c-73b8-11ed-ba7b-84fdd1f90de3
DELIVERY TRUCK DRIVER,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,26,1,6,4,3545d414-73b8-11ed-ba7b-84fdd1f90de3
IRON MAN JIMMY,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,26,1,6,4,3545d4ad-73b8-11ed-ba7b-84fdd1f90de3
CHARLIE XO,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,25,1,6,4,3545d546-73b8-11ed-ba7b-84fdd1f90de3
FEMALE SHIELD AGENT,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,1,6,4,3545d5db-73b8-11ed-ba7b-84fdd1f90de3
FRENCH PIRATE,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,24,1,6,4,3545d673-73b8-11ed-ba7b-84fdd1f90de3
OAKLAND KID #1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,1,6,4,3545d717-73b8-11ed-ba7b-84fdd1f90de3
FORTRESS SOLDIER,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,1,5,4,3545d7af-73b8-11ed-ba7b-84fdd1f90de3
RIVER TRIBE ELDER,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,1,5,4,3545d847-73b8-11ed-ba7b-84fdd1f90de3
MALE AGENT,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,19,2,4,2,3545d8dc-73b8-11ed-ba7b-84fdd1f90de3
HO YINSEN,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,18,1,4,4,3545d99f-73b8-11ed-ba7b-84fdd1f90de3
GALE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,1,4,4,3545da36-73b8-11ed-ba7b-84fdd1f90de3
YOUNG KILLMONGER,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,1,3,4,3545dae3-73b8-11ed-ba7b-84fdd1f90de3
GIRL,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,13,1,3,4,3545dbb6-73b8-11ed-ba7b-84fdd1f90de3
EIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,1,3,4,3545dc57-73b8-11ed-ba7b-84fdd1f90de3
YOUNG GAMORA,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,1,3,4,3545dcf1-73b8-11ed-ba7b-84fdd1f90de3
MALE NURSE,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,9,1,2,4,3545dd91-73b8-11ed-ba7b-84fdd1f90de3
THE SMITHSONIAN NARRATOR,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,106,1,35,3,3545de29-73b8-11ed-ba7b-84fdd1f90de3
TECHIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,89,1,29,3,3545dec3-73b8-11ed-ba7b-84fdd1f90de3
MIT TEACHER,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,73,1,24,3,3545df64-73b8-11ed-ba7b-84fdd1f90de3
NEWS ANCHOR #4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,68,1,22,3,3545e003-73b8-11ed-ba7b-84fdd1f90de3
COMMERCIAL ANNOUNCER,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,65,1,21,3,3545e097-73b8-11ed-ba7b-84fdd1f90de3
A1 TONY,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,1,15,3,3545e12d-73b8-11ed-ba7b-84fdd1f90de3
COMMITTEE GENERAL,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,46,1,15,3,3545e1ce-73b8-11ed-ba7b-84fdd1f90de3
HEINZ KRUGER,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,41,1,13,3,3545e268-73b8-11ed-ba7b-84fdd1f90de3
DRUNK TOWNIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,40,1,13,3,3545e2fe-73b8-11ed-ba7b-84fdd1f90de3
TOUR GUIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,40,1,13,3,3545e39e-73b8-11ed-ba7b-84fdd1f90de3
ADMIRAL,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,39,1,13,3,3545e468-73b8-11ed-ba7b-84fdd1f90de3
FEMALE WAR VETERAN,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,39,1,13,3,3545e503-73b8-11ed-ba7b-84fdd1f90de3
HUTTER,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,39,1,13,3,3545e59a-73b8-11ed-ba7b-84fdd1f90de3
GEF THE RAVAGER,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,31,1,10,3,3545e632-73b8-11ed-ba7b-84fdd1f90de3
MODERATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,31,1,10,3,3545e6ca-73b8-11ed-ba7b-84fdd1f90de3
SOREN,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,31,1,10,3,3545e774-73b8-11ed-ba7b-84fdd1f90de3
YOUNG GIRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,30,1,10,3,3545e819-73b8-11ed-ba7b-84fdd1f90de3
DESK OFFICER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,29,1,9,3,3545e8b4-73b8-11ed-ba7b-84fdd1f90de3
OAKLAND KID #3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,1,9,3,3545e94e-73b8-11ed-ba7b-84fdd1f90de3
SPECIALIST CAMERON KLEIN,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,1,9,3,3545e9e3-73b8-11ed-ba7b-84fdd1f90de3
ICE CREAM STORE CUSTOMER,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,1,9,3,3545ea7a-73b8-11ed-ba7b-84fdd1f90de3
MILITARY AIDE,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,28,1,9,3,3545eb18-73b8-11ed-ba7b-84fdd1f90de3
TOWNIE PETE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,28,1,9,3,3545ebce-73b8-11ed-ba7b-84fdd1f90de3
CHAMBERMAID,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,27,1,9,3,3545ec99-73b8-11ed-ba7b-84fdd1f90de3
LOUD JERK,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,27,1,9,3,3545ed3b-73b8-11ed-ba7b-84fdd1f90de3
POLICE OFFICER #1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,1,8,3,3545edd1-73b8-11ed-ba7b-84fdd1f90de3
STUDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,25,2,8,1,3545ee6f-73b8-11ed-ba7b-84fdd1f90de3
RETCH,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,24,1,8,3,3545ef09-73b8-11ed-ba7b-84fdd1f90de3
NURSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,21,2,7,1,3545efa1-73b8-11ed-ba7b-84fdd1f90de3
DETECTIVE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,1,7,3,3545f039-73b8-11ed-ba7b-84fdd1f90de3
RENATA,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,21,1,7,3,3545f0df-73b8-11ed-ba7b-84fdd1f90de3
SECURITY CHECKPOINT,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,21,1,7,3,3545f17c-73b8-11ed-ba7b-84fdd1f90de3
KREE,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,20,1,6,3,3545f212-73b8-11ed-ba7b-84fdd1f90de3
ROBBER 1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,20,1,6,3,3545f2b2-73b8-11ed-ba7b-84fdd1f90de3
STRIKE AGENT,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,20,1,6,3,3545f34a-73b8-11ed-ba7b-84fdd1f90de3
ELON MUSK,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,18,1,6,3,3545f408-73b8-11ed-ba7b-84fdd1f90de3
AGENT CALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,17,1,5,3,3545f4a4-73b8-11ed-ba7b-84fdd1f90de3
LEAD SCRAPPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,17,1,5,3,3545f54e-73b8-11ed-ba7b-84fdd1f90de3
PEACHY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,5,3,3545f672-73b8-11ed-ba7b-84fdd1f90de3
POLICE OFFICER #2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,1,5,3,3545f708-73b8-11ed-ba7b-84fdd1f90de3
