1788,22590,198,12,9,TONY STARK
977,8653,97,8,10,STEVE ROGERS
863,9487,123,10,7,THOR
498,4689,49,9,10,NATASHA ROMANOFF
442,3492,63,7,7,PEPPER POTTS
379,3840,54,10,7,BRUCE BANNER
366,4524,52,12,7,NICK FURY
327,4097,54,12,6,LOKI
318,3486,39,10,8,JAMES RHODES
174,1522,29,8,6,SAM WILSON
94,930,15,9,6,PEGGY CARTER
13,123,1,9,11,STAN LEE
